time,temperature_2m_max,temperature_2m_min,precipitation_sum
2016-07-27,28.5,24.7,22.2
2016-07-28,30.6,24.3,55.9
2016-07-29,29.6,24.8,14.8
2016-07-30,30.6,24.5,6.3
2016-07-31,30.6,24.9,5.9
2016-08-01,30.4,25.3,6.1
2016-08-02,30.7,25.6,2.0
2016-08-03,30.6,25.2,9.1
2016-08-04,29.5,25.1,9.7
2016-08-05,28.8,24.9,10.5
2016-08-06,30.9,24.7,2.5
2016-08-07,30.8,25.1,4.0
2016-08-08,30.3,24.6,4.4
2016-08-09,30.6,24.6,4.4
2016-08-10,30.7,24.8,3.6
2016-08-11,30.4,25.0,3.0
2016-08-12,30.1,24.2,19.3
2016-08-13,30.4,25.0,4.7
2016-08-14,28.5,24.8,16.3
2016-08-15,29.5,24.8,9.9
2016-08-16,29.6,24.9,6.2
2016-08-17,30.2,24.9,4.1
2016-08-18,29.5,24.6,8.5
2016-08-19,29.4,24.4,4.7
2016-08-20,29.6,24.8,4.3
2016-08-21,30.6,25.4,1.8
2016-08-22,29.7,25.1,2.9
2016-08-23,29.1,25.3,11.7
2016-08-24,29.4,25.3,8.3
2016-08-25,29.4,24.6,7.0
2016-08-26,28.4,24.7,23.5
2016-08-27,29.2,24.2,8.4
2016-08-28,30.5,24.5,5.6
2016-08-29,30.2,24.6,4.9
2016-08-30,28.1,24.4,25.3
2016-08-31,28.5,24.5,19.6
2016-09-01,28.0,24.1,35.9
2016-09-02,27.3,24.1,24.5
2016-09-03,29.3,23.7,9.0
2016-09-04,28.8,24.9,4.4
2016-09-05,30.2,24.5,1.3
2016-09-06,29.5,24.7,3.9
2016-09-07,28.9,23.3,1.1
2016-09-08,29.1,24.2,5.3
2016-09-09,30.4,23.1,1.5
2016-09-10,29.8,24.1,5.0
2016-09-11,29.5,24.6,3.9
2016-09-12,28.9,24.1,5.1
2016-09-13,29.1,24.4,17.0
2016-09-14,28.8,24.6,16.0
2016-09-15,29.5,24.6,8.0
2016-09-16,30.1,24.5,5.7
2016-09-17,30.2,24.6,3.5
2016-09-18,29.1,24.6,21.5
2016-09-19,29.6,24.4,3.3
2016-09-20,29.9,24.6,4.6
2016-09-21,28.7,24.2,12.6
2016-09-22,30.1,24.3,5.3
2016-09-23,29.6,24.5,4.7
2016-09-24,29.8,24.4,7.4
2016-09-25,28.9,24.2,6.0
2016-09-26,29.5,24.7,4.8
2016-09-27,29.2,24.5,5.5
2016-09-28,27.7,24.8,10.2
2016-09-29,28.8,24.8,19.8
2016-09-30,29.4,24.1,5.1
2016-10-01,30.0,24.0,1.8
2016-10-02,29.7,23.0,0.3
2016-10-03,30.0,23.3,1.3
2016-10-04,30.0,23.8,1.1
2016-10-05,29.9,23.8,2.0
2016-10-06,29.2,23.7,2.3
2016-10-07,29.2,23.3,1.1
2016-10-08,29.0,24.2,1.3
2016-10-09,29.5,23.7,3.2
